Age,Frac_1,Frac_2,Frac_3,Frac_4,Frac_5,Frac_6,Frac_7,Frac_8,Frac_9
5.149460e-02,3.972256e-04,1.332350e-02,6.455981e-02,1.471545e-01,2.622895e-01,3.184284e-01,1.938471e-01,0.000000e+00,0.000000e+00
5.152600e-02,3.984378e-04,1.335459e-02,6.466130e-02,1.472804e-01,2.623479e-01,3.183041e-01,1.936532e-01,0.000000e+00,0.000000e+00
5.155740e-02,3.996529e-04,1.338572e-02,6.476286e-02,1.474062e-01,2.624062e-01,3.181797e-01,1.934596e-01,0.000000e+00,0.000000e+00
5.158880e-02,4.008708e-04,1.341690e-02,6.486448e-02,1.475320e-01,2.624642e-01,3.180553e-01,1.932662e-01,0.000000e+00,0.000000e+00
5.162020e-02,4.020915e-04,1.344812e-02,6.496616e-02,1.476578e-01,2.625221e-01,3.179308e-01,1.930729e-01,0.000000e+00,0.000000e+00
5.165160e-02,4.033150e-04,1.347940e-02,6.506791e-02,1.477835e-01,2.625798e-01,3.178063e-01,1.928799e-01,0.000000e+00,0.000000e+00
5.168299e-02,4.045414e-04,1.351072e-02,6.516972e-02,1.479091e-01,2.626373e-01,3.176816e-01,1.926870e-01,0.000000e+00,0.000000e+00
5.171439e-02,4.057706e-04,1.354209e-02,6.527160e-02,1.480346e-01,2.626946e-01,3.175569e-01,1.924943e-01,0.000000e+00,0.000000e+00
5.174579e-02,4.070029e-04,1.357351e-02,6.537353e-02,1.481601e-01,2.627518e-01,3.174322e-01,1.923019e-01,0.000000e+00,0.000000e+00
5.177719e-02,4.082379e-04,1.360498e-02,6.547553e-02,1.482856e-01,2.628087e-01,3.173073e-01,1.921096e-01,0.000000e+00,0.000000e+00
5.180859e-02,4.094758e-04,1.363649e-02,6.557760e-02,1.484110e-01,2.628655e-01,3.171824e-01,1.919175e-01,0.000000e+00,0.000000e+00
5.183999e-02,4.107166e-04,1.366806e-02,6.567972e-02,1.485363e-01,2.629221e-01,3.170575e-01,1.917256e-01,0.000000e+00,0.000000e+00
5.187139e-02,4.119602e-04,1.369967e-02,6.578191e-02,1.486616e-01,2.629785e-01,3.169324e-01,1.915339e-01,0.000000e+00,0.000000e+00
5.190279e-02,4.132067e-04,1.373133e-02,6.588417e-02,1.487868e-01,2.630348e-01,3.168073e-01,1.913424e-01,0.000000e+00,0.000000e+00
5.193419e-02,4.144560e-04,1.376303e-02,6.598648e-02,1.489120e-01,2.630908e-01,3.166822e-01,1.911510e-01,0.000000e+00,0.000000e+00
